Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
18	c5	combined	Drop	0	0	0	0
18	c6	combined	Drop	0	0	0	0
18	c7	combined	Drop	0	0	0	0
18	c8	combined	Drop	0	0	0	0
18	c9	combined	Drop	0	0	0	0
18	c10	combined	Drop	0	0	0	0
18	c11	combined	Drop	0	0	0	0
18	c12	combined	Drop	0	0	0	0
18	c13	combined	Drop	0	0	0	0
18	c14	combined	Drop	0	0	0	0
18	c15	combined	Drop	0	0	0	0
18	c16	combined	Drop	0	0	0	0
18	c17	combined	Drop	0	0	0	0
18	c18	combined	Drop	0	0	0	0
18	n1	combined	Drop	0	0	0	0
18	n2	combined	Drop	0	0	0	0
18	n3	combined	Drop	0	0	0	0
18	n4	combined	Drop	0	0	0	0
18	n5	combined	Drop	0	0	0	0
18	n6	combined	Drop	0	0	0	0
18	n7	combined	Drop	0	0	0	0
18	n8	combined	Drop	0	0	0	0
18	n9	combined	Drop	0	0	0	0
18	p1	combined	Drop	1254	1315	1244	1304.64
18	p2	combined	Drop	731	767	700	734.095
18	p3	combined	Drop	715	750	708	742.51
18	p4	combined	Drop	714	748	733	768.726
19	c1	combined	Drop	0	0	0	0
19	c2	combined	Drop	0	0	0	0
19	c3	combined	Drop	0	0	0	0
19	c4	combined	Drop	0	0	0	0
19	c5	combined	Drop	0	0	0	0
19	c6	combined	Drop	0	0	0	0
19	c7	combined	Drop	0	0	0	0
19	c8	combined	Drop	0	0	0	0
19	c9	combined	Drop	0	0	0	0
19	c10	combined	Drop	0	0	0	0
19	c11	combined	Drop	0	0	0	0
19	c12	combined	Drop	0	0	0	0
19	c13	combined	Drop	0	0	0	0
19	c14	combined	Drop	0	0	0	0
19	c15	combined	Drop	0	0	0	0
19	c16	combined	Drop	0	0	0	0
19	c17	combined	Drop	0	0	0	0
19	c18	combined	Drop	0	0	0	0
19	n1	combined	Drop	0	0	0	0
19	n2	combined	Drop	0	0	0	0
19	n3	combined	Drop	0	0	0	0
19	n4	combined	Drop	0	0	0	0
19	n5	combined	Drop	0	0	0	0
19	n6	combined	Drop	0	0	0	0
19	n7	combined	Drop	0	0	0	0
19	n8	combined	Drop	0	0	0	0
19	n9	combined	Drop	0	0	0	0
19	p1	combined	Drop	1241	1301	1238	1298.34
19	p2	combined	Drop	709	744	704	738.304
19	p3	combined	Drop	828	869	857	898.781
19	p4	combined	Drop	669	701	658	690.066
20	c1	combined	Drop	0	0	0	0
20	c2	combined	Drop	0	0	0	0
20	c3	combined	Drop	0	0	0	0
20	c4	combined	Drop	0	0	0	0
20	c5	combined	Drop	0	0	0	0
20	c6	combined	Drop	0	0	0	0
20	c7	combined	Drop	0	0	0	0
20	c8	combined	Drop	0	0	0	0
20	c9	combined	Drop	0	0	0	0
20	c10	combined	Drop	0	0	0	0
20	c11	combined	Drop	0	0	0	0
20	c12	combined	Drop	0	0	0	0
20	c13	combined	Drop	0	0	0	0
20	c14	combined	Drop	0	0	0	0
20	c15	combined	Drop	0	0	0	0
20	c16	combined	Drop	0	0	0	0
20	c17	combined	Drop	0	0	0	0
20	c18	combined	Drop	0	0	0	0
20	n1	combined	Drop	0	0	0	0
20	n2	combined	Drop	0	0	0	0
20	n3	combined	Drop	0	0	0	0
20	n4	combined	Drop	0	0	0	0
20	n5	combined	Drop	0	0	0	0
20	n6	combined	Drop	0	0	0	0
20	n7	combined	Drop	0	0	0	0
20	n8	combined	Drop	0	0	0	0
20	n9	combined	Drop	0	0	0	0
20	p1	combined	Drop	1265	1327	1272	1334
